"trial_index","angle","stimulus_time","response_time","reaction_time","response","correct_response","correct","time_from_start","rt_bin","angle_category","angle_deviation","phase"
11,90.4,15532,20572,5037," ","j",FALSE,20572,20,"Greater than 90°",0.400000000000006,"Early"
16,90.6,26630,30156,3523,"j","j",TRUE,30156,14,"Greater than 90°",0.599999999999994,"Early"
21,89.2,36212,37312,1098,"f","f",TRUE,37312,5,"Less than 90°",0.799999999999997,"Early"
26,90.2,43367,44410,1041," ","j",FALSE,44410,5,"Greater than 90°",0.200000000000003,"Early"
31,90.8,50465,51340,872,"j","j",TRUE,51340,4,"Greater than 90°",0.799999999999997,"Early"
36,90,57368,58678,1308,"j"," ",FALSE,58678,6,"Equal to 90°",0,"Early"
41,91,64733,65467,731,"j","j",TRUE,65467,3,"Greater than 90°",1,"Early"
46,89.4,71520,72086,564,"f","f",TRUE,72086,3,"Less than 90°",0.599999999999994,"Early"
51,89.6,78132,78647,513,"f","f",TRUE,78647,2,"Less than 90°",0.400000000000006,"Early"
56,89.8,84689,85172,480,"f","f",TRUE,85172,2,"Less than 90°",0.200000000000003,"Early"
61,89,91225,91547,320,"f","f",TRUE,91547,2,"Less than 90°",1,"Early"
68,89.6,101743,105584,3840,"f","f",TRUE,105584,16,"Less than 90°",0.400000000000006,"Early"
73,89.8,111610,113078,1467,"j","f",FALSE,113078,6,"Less than 90°",0.200000000000003,"Early"
78,89,119105,119171,64,"f","f",TRUE,119171,1,"Less than 90°",1,"Early"
83,90,125199,125968,767,"f"," ",FALSE,125968,3,"Equal to 90°",0,"Early"
88,90.6,132023,133906,1881,"j","j",TRUE,133906,8,"Greater than 90°",0.599999999999994,"Early"
93,91,139945,140318,370,"j","j",TRUE,140318,2,"Greater than 90°",1,"Early"
98,90.8,146375,147139,761,"j","j",TRUE,147139,3,"Greater than 90°",0.799999999999997,"Early"
103,89.4,153168,153505,335," ","f",FALSE,153505,2,"Less than 90°",0.599999999999994,"Early"
108,90.2,159560,159884,322,"j","j",TRUE,159884,2,"Greater than 90°",0.200000000000003,"Early"
113,90.4,165934,166374,438," ","j",FALSE,166374,2,"Greater than 90°",0.400000000000006,"Early"
118,89.2,172426,173363,934,"f","f",TRUE,173363,4,"Less than 90°",0.799999999999997,"Early"
125,89.2,183000,183275,272,"f","f",TRUE,183275,1,"Less than 90°",0.799999999999997,"Early"
130,89.4,189301,190052,748," ","f",FALSE,190052,3,"Less than 90°",0.599999999999994,"Early"
